regulator_ensembl	regulator_symbol	target_ensembl	target_symbol	forward_score	reverse_score	asymmetry	direction_confidence	dominant_score
ENSG00000114374	USP9Y	ENSG00000099715	PCDH11Y	0.0999081432819366	0.0470725074410438	0.359473410824085	0.359473410824085	0.0999081432819366
ENSG00000012817	KDM5D	ENSG00000198692	EIF1AY	0.0935274884104728	0.0772220864892005	0.0954930747602579	0.0954930747602579	0.0935274884104728
ENSG00000129824	RPS4Y1	ENSG00000012817	KDM5D	0.0886184051632881	0.0575157776474952	0.2128360861048652	0.2128360861048652	0.0886184051632881
ENSG00000183878	UTY	ENSG00000114374	USP9Y	0.0499972701072692	0.0873646661639213	-0.2720360317475898	0.2720360317475898	0.0873646661639213
ENSG00000183878	UTY	ENSG00000198692	EIF1AY	0.0865236893296241	0.0655985698103904	0.1375546197998314	0.1375546197998314	0.0865236893296241
ENSG00000183878	UTY	ENSG00000129824	RPS4Y1	0.0653266087174415	0.0858984813094139	-0.1360347848904109	0.1360347848904109	0.0858984813094139
ENSG00000183878	UTY	ENSG00000067646	ZFY	0.0854518339037895	0.0467447973787784	0.292798962796432	0.292798962796432	0.0854518339037895
ENSG00000067646	ZFY	ENSG00000012817	KDM5D	0.0755360871553421	0.0849819630384445	-0.0588461912640975	0.0588461912640975	0.0849819630384445
ENSG00000114374	USP9Y	ENSG00000165246	NLGN4Y	0.0815204083919525	0.0808906555175781	0.0038775244691538	0.0038775244691538	0.0815204083919525
ENSG00000012817	KDM5D	ENSG00000183878	UTY	0.080328918993473	0.0629487410187721	0.1213041724236299	0.1213041724236299	0.080328918993473
ENSG00000099715	PCDH11Y	ENSG00000012817	KDM5D	0.0605651661753654	0.0797763988375663	-0.136889115211832	0.136889115211832	0.0797763988375663
ENSG00000183878	UTY	ENSG00000067048	DDX3Y	0.0632992535829544	0.0789953768253326	-0.1103072069355739	0.1103072069355739	0.0789953768253326
ENSG00000114374	USP9Y	ENSG00000129824	RPS4Y1	0.0786670669913292	0.0711148381233215	0.0504215036000268	0.0504215036000268	0.0786670669913292
ENSG00000067048	DDX3Y	ENSG00000114374	USP9Y	0.0786600336432457	0.0497554019093513	0.2250868955845292	0.2250868955845292	0.0786600336432457
ENSG00000067646	ZFY	ENSG00000067048	DDX3Y	0.0754323154687881	0.0770107507705688	-0.0103542610412465	0.0103542610412465	0.0770107507705688
ENSG00000129824	RPS4Y1	ENSG00000154620	TMSB4Y	0.0768159478902816	0.0530857667326927	0.182677967156019	0.182677967156019	0.0768159478902816
ENSG00000012817	KDM5D	ENSG00000067048	DDX3Y	0.0564133711159229	0.0762443840503692	-0.1494900385540055	0.1494900385540055	0.0762443840503692
ENSG00000165246	NLGN4Y	ENSG00000183878	UTY	0.0632459595799446	0.074337899684906	-0.0806194866472574	0.0806194866472574	0.074337899684906
ENSG00000183878	UTY	ENSG00000099715	PCDH11Y	0.0681179463863372	0.0462771728634834	0.1909239980332216	0.1909239980332216	0.0681179463863372
ENSG00000198692	EIF1AY	ENSG00000165246	NLGN4Y	0.0679147988557815	0.0373516790568828	0.2903404806985697	0.2903404806985697	0.0679147988557815
ENSG00000165246	NLGN4Y	ENSG00000154620	TMSB4Y	0.0677752643823623	0.0274770986288785	0.4230673600013999	0.4230673600013999	0.0677752643823623
ENSG00000183878	UTY	ENSG00000154620	TMSB4Y	0.0670674815773963	0.0481978133320808	0.1637064153609375	0.1637064153609375	0.0670674815773963
ENSG00000067646	ZFY	ENSG00000198692	EIF1AY	0.0375544726848602	0.0668884888291359	-0.2808615891274189	0.2808615891274189	0.0668884888291359
ENSG00000165246	NLGN4Y	ENSG00000067048	DDX3Y	0.0588953830301761	0.0664414167404174	-0.0602060506091807	0.0602060506091807	0.0664414167404174
ENSG00000198692	EIF1AY	ENSG00000154620	TMSB4Y	0.0663190484046936	0.050924003124237	0.131308807469297	0.131308807469297	0.0663190484046936
ENSG00000198692	EIF1AY	ENSG00000067048	DDX3Y	0.0515955947339534	0.0639207884669303	-0.1066964995903361	0.1066964995903361	0.0639207884669303
ENSG00000012817	KDM5D	ENSG00000165246	NLGN4Y	0.0638434067368507	0.0299934744834899	0.3607316421089927	0.3607316421089927	0.0638434067368507
ENSG00000129824	RPS4Y1	ENSG00000198692	EIF1AY	0.0636284202337265	0.0398622117936611	0.2296459879919013	0.2296459879919013	0.0636284202337265
ENSG00000129824	RPS4Y1	ENSG00000099715	PCDH11Y	0.0635551810264587	0.0477839410305023	0.1416504792246	0.1416504792246	0.0635551810264587
ENSG00000067048	DDX3Y	ENSG00000129824	RPS4Y1	0.0626877173781395	0.06175147742033	0.0075236741873665	0.0075236741873665	0.0626877173781395
ENSG00000099715	PCDH11Y	ENSG00000165246	NLGN4Y	0.0437440127134323	0.0619876533746719	-0.1725466110206282	0.1725466110206282	0.0619876533746719
ENSG00000238083	LRRC37A2	ENSG00000176681	LRRC37A	0.0618865452706813	0.0495363473892211	0.1108407580033486	0.1108407580033486	0.0618865452706813
ENSG00000067646	ZFY	ENSG00000165246	NLGN4Y	0.061705257743597	0.0495842657983303	0.1089140429340712	0.1089140429340712	0.061705257743597
ENSG00000129824	RPS4Y1	ENSG00000165246	NLGN4Y	0.0616980828344821	0.0481116995215415	0.1237265298347216	0.1237265298347216	0.0616980828344821
ENSG00000012817	KDM5D	ENSG00000114374	USP9Y	0.057883508503437	0.0612144619226455	-0.0279681795354178	0.0279681795354178	0.0612144619226455
ENSG00000099715	PCDH11Y	ENSG00000154620	TMSB4Y	0.0605268478393554	0.0438189916312694	0.1601200037556785	0.1601200037556785	0.0605268478393554
ENSG00000067646	ZFY	ENSG00000129824	RPS4Y1	0.0570195131003856	0.0593654476106166	-0.0201566808621957	0.0201566808621957	0.0593654476106166
ENSG00000154620	TMSB4Y	ENSG00000114374	USP9Y	0.0521700270473957	0.0584100596606731	-0.0564299848099656	0.0564299848099656	0.0584100596606731
ENSG00000114374	USP9Y	ENSG00000198692	EIF1AY	0.0583244413137435	0.0522171296179294	0.0552490040107524	0.0552490040107524	0.0583244413137435
ENSG00000198692	EIF1AY	ENSG00000099715	PCDH11Y	0.0569229908287525	0.034081794321537	0.250988961396299	0.250988961396299	0.0569229908287525
